freq,nrg_bal,siec,unit,geo,time,value
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2016-01-01,26099.472
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2017-01-01,26502.78
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2018-01-01,26042.437
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2019-01-01,26221.621
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2020-01-01,25006.898
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2021-01-01,26434.142
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2022-01-01,25171.124
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2023-01-01,24317.76
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Austria,2024-01-01,24018.564
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2013-01-01,62107.507
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2014-01-01,60204.33
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2015-01-01,60862.715
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2016-01-01,65137.043
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2017-01-01,69225.895
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2018-01-01,73049.211
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2019-01-01,71853.636
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2020-01-01,70177.416
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2021-01-01,74175.218
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2022-01-01,70966.086
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2023-01-01,69246.314
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Poland,2024-01-01,69194.27
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Portugal,2013-01-01,14908.318
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Portugal,2014-01-01,15386.388
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Portugal,2015-01-01,15550.875
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Portugal,2016-01-01,15640.739
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Portugal,2017-01-01,15900.697
